Gold;Oil
58.2762;20.58
58.2762;20.31
58.2762;19.86
58.5384;19.63
58.5384;19.45
58.3109;19.63
58.3109;19.5
58.3109;19.14
58.2785;19.03
58.2785;19.21
59.7741;19.51
59.7741;19.48
59.7741;19.83
58.9966;19.62
58.9966;19.19
66.5563;19.5
66.5563;19.88
66.5563;20.06
76.8353;19.76
76.8353;19.68
77.5233;20.38
77.5233;20.2
77.5233;20.19
85.6026;19.72
85.6026;19.6
85.6026;19.51
85.6026;19.51
85.6026;19.51
100.0125;19.47
100.0125;19.08
100.0125;18.83
100.0125;18.32
100.0125;18.04
103.1984;17.91
103.1984;17.94
103.2382;17.98
103.2382;17.87
103.2382;18.18
103.2382;18.13
103.2382;17.96
103.2382;17.8
103.2382;17.76
103.2382;17.97
103.2382;18.3
103.2382;18.34
95.101;18.08
95.101;18.22
95.101;18.43
90.804;18.24
90.804;18.44
